ram_limit,cpu_limit,ram_usage,cpu_usage,n,lat99
3712M,0.5,559067136.0,0.4981,150,30326961
3712M,0.5,673247232.0,0.49811,200,36817896
3712M,0.5,673247232.0,0.498164,200,36890461
3712M,0.5,600854528.0,0.49801,200,36893337
3712M,0.5,675491840.0,0.498133,200,36349576
3712M,0.5,675491840.0,0.49813,250,41458580
3712M,0.5,674889728.0,0.497987,250,41045639
3712M,0.5,725975040.0,0.49812,250,41727977
3712M,0.5,743350272.0,0.498076,250,41577842
3712M,0.5,699633664.0,0.498115,250,41375653
3712M,0.5,834195456.0,0.498172,300,43714107
3712M,0.5,905875456.0,0.497932,300,43555742
3712M,0.5,895741952.0,0.498231,300,43901407
3712M,0.5,877522944.0,0.497797,350,46346449
3712M,0.5,799391744.0,0.498044,400,47823613
3712M,0.5,1145192448.0,0.497883,400,47871310
3712M,0.5,980549632.0,0.49777,400,47578979
3712M,0.5,903929856.0,0.497709,450,48438265
3712M,0.5,1117290496.0,0.497368,450,48444293
3712M,0.5,941604864.0,0.496367,450,48321303
3712M,0.5,1147043840.0,0.497536,450,48027315
3712M,0.5,1069580288.0,0.497439,450,48327192
3712M,0.5,1148870656.0,0.496669,500,48733288
3584M,0.5,632750080.0,0.223876,50,202765
3584M,0.5,243945472.0,0.305623,50,213522
3584M,0.5,279195648.0,0.349058,50,221574
3584M,0.5,459902976.0,0.441889,100,17565290
3584M,0.5,459902976.0,0.441165,100,17341265
3584M,0.5,472387584.0,0.436044,100,17356699
3584M,0.5,472387584.0,0.44535,100,17589084
3584M,0.5,468733952.0,0.459246,100,18139418
3584M,0.5,527970304.0,0.462781,150,30985253
3584M,0.5,527970304.0,0.467676,150,30653533
3584M,0.5,533155840.0,0.476177,150,30411984
3584M,0.5,533155840.0,0.488535,150,30755887
3584M,0.5,521986048.0,0.498238,150,31252580
3584M,0.5,590655488.0,0.498392,200,36908268
3584M,0.5,633913344.0,0.497889,200,36690086
3584M,0.5,633913344.0,0.497847,200,36972545
3584M,0.5,627838976.0,0.497841,200,36857324
3584M,0.5,728371200.0,0.498317,250,41791578
3584M,0.5,728371200.0,0.498126,250,41668187
3584M,0.5,695357440.0,0.498077,250,42095595
3584M,0.5,721891328.0,0.498068,250,41836572
3584M,0.5,729976832.0,0.498072,250,41637118
3584M,0.5,756039680.0,0.497893,300,44073381
3584M,0.5,756039680.0,0.498115,300,44382553
3584M,0.5,918577152.0,0.498075,350,46869615
3584M,0.5,918577152.0,0.497742,350,46703409
3584M,0.5,1074204672.0,0.497984,400,47750872
3584M,0.5,1091575808.0,0.497643,400,47929658
3584M,0.5,1035456512.0,0.497493,400,47839630
3584M,0.5,1050693632.0,0.497689,400,48170212
3584M,0.5,1029959680.0,0.49748,400,47946295
3584M,0.5,1142796288.0,0.497704,450,48760383
3584M,0.5,1147908096.0,0.497673,450,48885551
3584M,0.5,950386688.0,0.496896,450,48476979
3584M,0.5,1282809856.0,0.497496,450,48526934
3584M,0.5,925118464.0,0.497418,450,48509042
3584M,0.5,1229172736.0,0.497331,500,48970475
3456M,0.5,682516480.0,0.326551,50,240718
3456M,0.5,250458112.0,0.408654,50,248807
3456M,0.5,250355712.0,0.458976,50,217199
3456M,0.5,249819136.0,0.443502,50,215501
3456M,0.5,249819136.0,0.425309,50,275130
3456M,0.5,452542464.0,0.418835,100,18116825
3456M,0.5,405225472.0,0.430321,100,18736920
3456M,0.5,467656704.0,0.439148,100,17754690
3456M,0.5,467656704.0,0.446822,100,17982882
3456M,0.5,484823040.0,0.466176,100,18102695
3456M,0.5,543440896.0,0.461438,150,30862641
3456M,0.5,543440896.0,0.468161,150,30985209
3456M,0.5,538357760.0,0.478855,150,30528916
3456M,0.5,540463104.0,0.486626,150,31191637
3456M,0.5,540463104.0,0.498212,150,31098174
3456M,0.5,667365376.0,0.498402,200,37081897
3456M,0.5,667365376.0,0.497964,200,36892605
3456M,0.5,584355840.0,0.497915,200,36959715
3456M,0.5,659202048.0,0.498021,200,37363229
3456M,0.5,659202048.0,0.498072,200,37326540
3456M,0.5,725819392.0,0.49826,250,41466765
3456M,0.5,725819392.0,0.498104,250,41668683
3456M,0.5,691974144.0,0.497998,250,41976566
3456M,0.5,730263552.0,0.498518,250,41794418
3456M,0.5,730263552.0,0.497889,250,41682670
3456M,0.5,820895744.0,0.498044,300,44055561
3456M,0.5,820895744.0,0.497968,300,44605090
3456M,0.5,777531392.0,0.497964,300,44629820
3456M,0.5,841814016.0,0.49821,300,44452646
3456M,0.5,789622784.0,0.498497,300,44756597
3456M,0.5,889552896.0,0.497635,350,46609782
3456M,0.5,889552896.0,0.498117,350,47013691
3456M,0.5,1076617216.0,0.498025,350,46922915
3456M,0.5,915816448.0,0.497501,400,47693462
3456M,0.5,1132896256.0,0.497981,400,47768438
3456M,0.5,851447808.0,0.497507,400,47988000
3456M,0.5,1021300736.0,0.497479,400,47994273
3456M,0.5,1009971200.0,0.496829,450,48932966
3456M,0.5,977793024.0,0.497456,450,48648387
3456M,0.5,1229475840.0,0.497377,450,48505382
3456M,0.5,999727104.0,0.497446,450,48283002
3456M,0.5,1133281280.0,0.497667,450,48622655
3456M,0.5,1133281280.0,0.497677,500,49302922
3456M,0.5,1255608320.0,0.497477,500,49539718
3456M,0.5,1032806400.0,0.497436,500,49068742
3328M,0.5,659664896.0,0.354503,50,264073
3328M,0.5,250753024.0,0.437184,50,265047
3328M,0.5,255561728.0,0.471279,50,229187
3328M,0.5,283619328.0,0.458385,50,257155
3328M,0.5,447938560.0,0.438922,100,18237511
3328M,0.5,461516800.0,0.42756,100,18349234
3328M,0.5,461516800.0,0.439317,100,18012425
3328M,0.5,451403776.0,0.448675,100,17370298
3328M,0.5,463339520.0,0.458529,100,17375074
3328M,0.5,523759616.0,0.459742,150,30982687
3328M,0.5,561905664.0,0.469199,150,30903196
3328M,0.5,561905664.0,0.479462,150,30992304
3328M,0.5,531435520.0,0.488519,150,31089765
3328M,0.5,539471872.0,0.497756,150,31169576
3328M,0.5,615575552.0,0.497668,200,37167465
