time,ram_limit,cpu_limit,ram_usage,cpu_usage,n
1637081172,2560000000,4.0,536838144.0,0.410277,180
1637081192,2560000000,4.0,545943552.0,0.5143,190
1637081212,2560000000,4.0,554221568.0,0.615568,200
1637081235,2560000000,4.0,565186560.0,0.732248,210
1637081255,2560000000,4.0,575336448.0,0.514081,220
1637081277,2560000000,4.0,588439552.0,0.785922,230
1637081300,2560000000,4.0,599150592.0,0.716959,240
1637081320,2560000000,4.0,613060608.0,0.695327,250
1637081343,2560000000,4.0,624992256.0,1.034222,260
1637081365,2560000000,4.0,638828544.0,0.763213,270
1637081387,2560000000,4.0,652640256.0,0.904169,280
1637081412,2560000000,4.0,668336128.0,0.881411,290
1637081438,2560000000,4.0,683036672.0,0.906526,300
1637081465,2560000000,4.0,698945536.0,1.20952,310
1637081494,2560000000,4.0,716816384.0,0.796155,320
1637081525,2560000000,4.0,733605888.0,0.704351,330
1637081559,2560000000,4.0,750571520.0,0.910217,340
1637081593,2560000000,4.0,770863104.0,0.973752,350
1637081630,2560000000,4.0,789065728.0,1.398493,360
1637081670,2560000000,4.0,806924288.0,0.816124,370
1637081711,2560000000,4.0,827232256.0,0.74841,380
1637081754,2560000000,4.0,847872000.0,1.283313,390
1637081800,2560000000,4.0,871727104.0,1.2035,400
1637081848,2560000000,4.0,892723200.0,1.163911,410
1637081899,2560000000,4.0,915292160.0,1.163854,420
1637081952,2560000000,4.0,939216896.0,0.878277,430
1637082008,2560000000,4.0,962203648.0,0.989909,440
1637082066,2560000000,4.0,987578368.0,1.259301,450
1637082125,2560000000,4.0,1012940800.0,1.222041,460
1637082189,2560000000,4.0,1039376384.0,1.215294,470
1637082256,2560000000,4.0,1065463808.0,1.192473,480
1637082324,2560000000,4.0,1093898240.0,1.230092,490
1637082395,2560000000,4.0,1121284096.0,1.024111,500
1637082471,2560000000,4.0,1150980096.0,1.271563,510
1637082877,2560000000,4.0,1281105920.0,1.285869,550
1637083593,2304000000,4.0,1474977792.0,5.9e-05,10
1637083603,2304000000,4.0,1549127680.0,0.019056,20
1637083614,2304000000,4.0,1574236160.0,0.019056,30
1637083625,2304000000,4.0,1638977536.0,0.063213,40
1637083635,2304000000,4.0,1680625664.0,0.063213,50
1637083646,2304000000,4.0,1786212352.0,0.053073,60
1637083658,2304000000,4.0,1807425536.0,0.24659,70
1637083669,2304000000,4.0,1818816512.0,0.24659,80
1637083681,2304000000,4.0,1818816512.0,0.306227,90
1637083693,2304000000,4.0,427520000.0,0.306227,100
1637083704,2304000000,4.0,437366784.0,0.356852,110
1637083716,2304000000,4.0,441401344.0,0.356852,120
1637083728,2304000000,4.0,449380352.0,0.608605,130
1637083740,2304000000,4.0,454623232.0,0.358786,140
1637083756,2304000000,4.0,461451264.0,0.574646,150
1637083768,2304000000,4.0,471195648.0,0.573805,160
1637083781,2304000000,4.0,478937088.0,0.573805,170
1637083799,2304000000,4.0,487686144.0,0.668604,180
1637083824,2304000000,4.0,559345664.0,0.530082,190
1637083841,2304000000,4.0,566378496.0,0.662431,200
1637083863,2304000000,4.0,577724416.0,0.665463,210
1637083886,2304000000,4.0,586616832.0,0.735225,220
1637083905,2304000000,4.0,598638592.0,0.810168,230
1637083928,2304000000,4.0,609968128.0,0.680687,240
1637083951,2304000000,4.0,623366144.0,0.794266,250
1637083971,2304000000,4.0,634531840.0,0.646357,260
1637083994,2304000000,4.0,649486336.0,0.935981,270
1637084016,2304000000,4.0,663044096.0,0.802729,280
1637084039,2304000000,4.0,678391808.0,0.715447,290
1637084066,2304000000,4.0,693125120.0,1.16123,300
1637084093,2304000000,4.0,708534272.0,1.113034,310
1637084122,2304000000,4.0,726065152.0,1.072434,320
1637084153,2304000000,4.0,742821888.0,0.769261,330
1637084187,2304000000,4.0,759705600.0,1.041877,340
1637084221,2304000000,4.0,780058624.0,0.70022,350
1637084259,2304000000,4.0,797794304.0,0.876829,360
1637084298,2304000000,4.0,816713728.0,1.011337,370
1637084340,2304000000,4.0,836542464.0,0.780345,380
1637084383,2304000000,4.0,857604096.0,1.083951,390
1637084429,2304000000,4.0,880644096.0,1.207704,400
1637084477,2304000000,4.0,902144000.0,1.112608,410
1637084528,2304000000,4.0,924762112.0,0.98452,420
1637084582,2304000000,4.0,948502528.0,0.889368,430
1637084638,2304000000,4.0,972312576.0,0.890512,440
1637084695,2304000000,4.0,997494784.0,1.238754,450
1637084757,2304000000,4.0,1021894656.0,1.058041,460
1637084821,2304000000,4.0,1048711168.0,1.021203,470
1637084886,2304000000,4.0,1075310592.0,1.23721,480
1637084955,2304000000,4.0,1102934016.0,0.902654,490
1637085028,2304000000,4.0,1131413504.0,0.789762,500
1637085102,2304000000,4.0,1159651328.0,1.033396,510
1637085181,2304000000,4.0,1190203392.0,1.315062,520
1637086194,2048000000,4.0,1511628800.0,0.059051,10
1637086205,2048000000,4.0,1585823744.0,0.055929,20
1637086215,2048000000,4.0,1610747904.0,0.065073,30
1637086226,2048000000,4.0,1675481088.0,0.065073,40
1637086237,2048000000,4.0,1717215232.0,0.0,50
1637086248,2048000000,4.0,1823084544.0,0.007823,60
1637086259,2048000000,4.0,1843630080.0,0.240967,70
1637086271,2048000000,4.0,1843630080.0,0.240967,80
1637086476,1792000000,4.0,481058816.0,0.09981,10
1637086487,1792000000,4.0,545660928.0,0.008421,20
1637086497,1792000000,4.0,589660160.0,0.008421,30
1637086508,1792000000,4.0,623091712.0,0.047882,40
1637086519,1792000000,4.0,696131584.0,0.047882,50
1637086530,1792000000,4.0,746438656.0,0.093662,60
1637086541,1792000000,4.0,818069504.0,0.318379,70
1637086553,1792000000,4.0,821460992.0,0.377565,80
1637086564,1792000000,4.0,822480896.0,0.315062,90
1637086576,1792000000,4.0,427319296.0,0.427911,100
1637086588,1792000000,4.0,432357376.0,0.247933,110
1637086603,1792000000,4.0,433373184.0,0.401962,120
1637086805,1536000000,4.0,509341696.0,0.007481,10
1637086816,1536000000,4.0,573952000.0,0.065786,20
1637086826,1536000000,4.0,617906176.0,0.065786,30
1637086837,1536000000,4.0,651321344.0,0.080624,40
1637086848,1536000000,4.0,739958784.0,0.006928,50
1637086859,1536000000,4.0,790142976.0,0.008194,60
1637086870,1536000000,4.0,838422528.0,0.246029,70
1637086881,1536000000,4.0,844713984.0,0.293419,80
1637087085,1280000000,4.0,487288832.0,0.033763,10
1637087096,1280000000,4.0,551997440.0,0.069388,20
1637087106,1280000000,4.0,595759104.0,0.069388,30
1637087117,1280000000,4.0,629260288.0,0.04489,40
1637087128,1280000000,4.0,629260288.0,0.009983,50
1637087333,1024000000,4.0,293924864.0,0.008608,10
1637087343,1024000000,4.0,358445056.0,0.077344,20
1637087354,1024000000,4.0,402337792.0,0.077344,30
1637087365,1024000000,4.0,435707904.0,0.057017,40
1637087376,1024000000,4.0,508887040.0,0.097827,50
1637087387,1024000000,4.0,559005696.0,0.0,60
1637087398,1024000000,4.0,630214656.0,0.239015,70
1637087409,1024000000,4.0,634953728.0,0.31296,80
1637087420,1024000000,4.0,634953728.0,0.325577,90
1637087432,1024000000,4.0,420036608.0,0.325577,100
1637087635,768000000,4.0,495730688.0,0.043401,10
1637087645,768000000,4.0,560586752.0,0.043401,20
1637087656,768000000,4.0,604413952.0,0.057873,30
1637087666,768000000,4.0,637833216.0,0.0,40
1637087678,768000000,4.0,710868992.0,0.081499,50
1637087689,768000000,4.0,761221120.0,0.104257,60
1637087700,768000000,4.0,823115776.0,0.240792,70
1637087711,768000000,4.0,832278528.0,0.240792,80
1637087919,512000000,4.0,487858176.0,0.023926,10
1637087929,512000000,4.0,552579072.0,0.023926,20
1637087940,512000000,4.0,587161600.0,0.068446,30
1637087950,512000000,4.0,620580864.0,0.047744,40
1637087961,512000000,4.0,693522432.0,0.103573,50
1637087972,512000000,4.0,794103808.0,0.115164,60
1637087983,512000000,4.0,818126848.0,0.240112,70
1637087994,512000000,4.0,826892288.0,0.325502,80
1637088006,512000000,4.0,826892288.0,0.325502,90
1637088017,512000000,4.0,427544576.0,0.360688,100
1637088030,512000000,4.0,432267264.0,0.360688,110
1637088044,512000000,4.0,437559296.0,0.530984,120
1637088057,512000000,4.0,445046784.0,0.469763,130
1637088069,512000000,4.0,451272704.0,0.39919,140
1637088087,512000000,4.0,458338304.0,0.49543,150
1637088100,512000000,4.0,467316736.0,0.487567,160
1637088113,512000000,4.0,476540928.0,0.487567,170
1637088130,512000000,4.0,534474752.0,0.470174,180
1637088150,512000000,4.0,536768512.0,0.485898,190
1637088172,512000000,4.0,536821760.0,0.546343,200
1637088195,512000000,4.0,535793664.0,0.659585,210
1637088214,512000000,4.0,535683072.0,0.510819,220
1637088237,512000000,4.0,535764992.0,0.659181,230
1637088258,512000000,4.0,535764992.0,0.772666,240
