file,rows,start,end,duration_h,path
amf-performance_seg51_20211122_040339.csv,56,2021-11-22 04:03:39,2021-11-22 04:41:53,0.637,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg51_20211122_040339.csv
amf-performance_seg52_20211122_050655.csv,305,2021-11-22 05:06:55,2021-11-22 08:02:57,2.934,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg52_20211122_050655.csv
amf-performance_seg53_20211122_084643.csv,377,2021-11-22 08:46:43,2021-11-22 13:05:42,4.316,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg53_20211122_084643.csv
amf-performance_seg54_20211122_142925.csv,385,2021-11-22 14:29:25,2021-11-22 19:12:41,4.721,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg54_20211122_142925.csv
amf-performance_seg55_20211122_203628.csv,356,2021-11-22 20:36:28,2021-11-23 00:43:57,4.125,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg55_20211122_203628.csv
amf-performance_seg56_20211123_012307.csv,460,2021-11-23 01:23:07,2021-11-23 05:35:14,4.202,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg56_20211123_012307.csv
amf-performance_seg57_20211123_062642.csv,275,2021-11-23 06:26:42,2021-11-23 08:49:47,2.385,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg57_20211123_062642.csv
amf-performance_seg58_20211123_091454.csv,227,2021-11-23 09:14:54,2021-11-23 11:55:03,2.669,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg58_20211123_091454.csv
amf-performance_seg59_20211123_123658.csv,151,2021-11-23 12:36:58,2021-11-23 14:05:27,1.475,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg59_20211123_123658.csv
amf-performance_seg60_20211123_143217.csv,607,2021-11-23 14:32:17,2021-11-23 21:46:13,7.232,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg60_20211123_143217.csv
amf-performance_seg61_20211123_231004.csv,289,2021-11-23 23:10:04,2021-11-24 01:57:38,2.793,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg61_20211123_231004.csv
amf-performance_seg62_20211124_025010.csv,293,2021-11-24 02:50:10,2021-11-24 06:09:38,3.324,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg62_20211124_025010.csv
amf-performance_seg63_20211124_063623.csv,551,2021-11-24 06:36:23,2021-11-24 12:49:19,6.216,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg63_20211124_063623.csv
amf-performance_seg64_20211124_131936.csv,54,2021-11-24 13:19:36,2021-11-24 13:54:54,0.588,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg64_20211124_131936.csv
amf-performance_seg65_20211124_142143.csv,197,2021-11-24 14:21:43,2021-11-24 16:32:37,2.182,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg65_20211124_142143.csv
amf-performance_seg66_20211124_170251.csv,72,2021-11-24 17:02:51,2021-11-24 17:49:50,0.783,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg66_20211124_170251.csv
amf-performance_seg67_20211124_182824.csv,117,2021-11-24 18:28:24,2021-11-24 19:52:23,1.4,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg67_20211124_182824.csv
amf-performance_seg68_20211124_202412.csv,37,2021-11-24 20:24:12,2021-11-24 20:54:59,0.513,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg68_20211124_202412.csv
amf-performance_seg69_20211124_213140.csv,1481,2021-11-24 21:31:40,2021-11-25 12:56:06,15.407,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg69_20211124_213140.csv
amf-performance_seg71_20211125_151336.csv,302,2021-11-25 15:13:36,2021-11-25 18:35:10,3.359,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg71_20211125_151336.csv
amf-performance_seg72_20211125_190200.csv,167,2021-11-25 19:02:00,2021-11-25 20:45:13,1.72,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg72_20211125_190200.csv
amf-performance_seg73_20211125_211526.csv,49,2021-11-25 21:15:26,2021-11-25 21:48:00,0.543,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg73_20211125_211526.csv
amf-performance_seg74_20211125_231201.csv,73,2021-11-25 23:12:01,2021-11-25 23:59:53,0.798,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg74_20211125_231201.csv
amf-performance_seg75_20211126_003643.csv,46,2021-11-26 00:36:43,2021-11-26 01:10:56,0.57,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg75_20211126_003643.csv
amf-performance_seg76_20211126_014933.csv,68,2021-11-26 01:49:33,2021-11-26 02:31:43,0.703,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg76_20211126_014933.csv
amf-performance_seg77_20211126_030416.csv,62,2021-11-26 03:04:16,2021-11-26 03:51:52,0.793,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg77_20211126_030416.csv
amf-performance_seg78_20211126_042351.csv,37,2021-11-26 04:23:51,2021-11-26 04:54:16,0.507,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg78_20211126_042351.csv
amf-performance_seg79_20211126_053102.csv,1505,2021-11-26 05:31:02,2021-11-26 23:33:59,18.049,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg79_20211126_053102.csv
amf-performance_seg80_20211127_005738.csv,655,2021-11-27 00:57:38,2021-11-27 08:20:09,7.375,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg80_20211127_005738.csv
