scenario,approach,algorithm,feature,source_table,importance
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/rabbitmq-performance.csv.lat50,rabbitmq-performance.csv,0.38853281963432307
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/rabbitmq-performance.csv.lat95,rabbitmq-performance.csv,0.2208779390780336
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/python-web-server-performance.csv.lat100,python-web-server-performance.csv,0.0222997466877878
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/amf-performance.csv.cpu_usage,amf-performance.csv,0.020429111871394668
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/python-web-server-performance.csv.lat50,python-web-server-performance.csv,0.019861118401740187
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/golang-web-server-performance.csv.n,golang-web-server-performance.csv,0.018725629925160803
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/python-web-server-performance.csv.lat80,python-web-server-performance.csv,0.015787843885595267
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/amf-performance.csv.dt.day,amf-performance.csv.dt,0.012052121683431949
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/python-web-server-performance.csv.lat90,python-web-server-performance.csv,0.011447817225430867
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/amf-performance.csv.ram_usage,amf-performance.csv,0.008709598123807182
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/python-web-server-performance.csv.ram_usage,python-web-server-performance.csv,0.008598011027201124
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/python-web-server-performance.csv.lat66,python-web-server-performance.csv,0.008266963364454228
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/amf-performance.csv.ram_limit,amf-performance.csv,0.007340800628544031
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/python-web-server-performance.csv.lat99,python-web-server-performance.csv,0.005881727349570554
