scenario,approach,algorithm,feature,source_table,importance
scenario1,Join_All_BFS_Filter,XGBoost,scenario1/golang-by-n.csv.lat75,golang-by-n.csv,26006.75046117697
scenario1,Join_All_BFS_Filter,XGBoost,scenario1/golang-by-n.csv.lat90,golang-by-n.csv,13380.890392641537
scenario1,Join_All_BFS_Filter,XGBoost,scenario1/golang-by-n.csv.cpu_usage,golang-by-n.csv,0.0
scenario1,Join_All_BFS_Filter,XGBoost,scenario1/golang-by-n.csv.lat66,golang-by-n.csv,0.0
scenario1,Join_All_BFS_Filter,XGBoost,scenario1/golang-by-n.csv.lat80,golang-by-n.csv,0.0
scenario1,Join_All_BFS_Filter,XGBoost,scenario1/golang-by-n.csv.lat98,golang-by-n.csv,0.0
scenario1,AutoFeatPlus,RandomForest,scenario1/rabbitmq-s1.csv.ram_usage,rabbitmq-s1.csv,26576573.462485585
scenario1,AutoFeatPlus,RandomForest,scenario1/rabbitmq-s1.csv.cpu_usage,rabbitmq-s1.csv,22263290.756873712
scenario1,AutoFeatPlus,RandomForest,scenario1/rabbitmq-s1.csv.cpu_limit,rabbitmq-s1.csv,10896566.467034426
scenario1,AutoFeatPlus,RandomForest,scenario1/rabbitmq-s1.csv.ram_limit,rabbitmq-s1.csv,4221707.3178955745
scenario1,AutoFeatPlus,RandomForest,scenario1/python-by-n.csv.cpu_limit,python-by-n.csv,1626641.245235335
scenario1,AutoFeatPlus,RandomForest,scenario1/golang-by-n.csv.cpu_usage,golang-by-n.csv,75461.3506612707
scenario1,AutoFeatPlus,RandomForest,scenario1/python-by-n.csv.cpu_usage,python-by-n.csv,61338.20437492393
scenario1,AutoFeatPlus,RandomForest,scenario1/golang-by-n.csv.ram_usage,golang-by-n.csv,60986.961140396445
scenario1,AutoFeatPlus,RandomForest,scenario1/python-by-n.csv.ram_usage,python-by-n.csv,57259.255001680736
scenario1,AutoFeatPlus,RandomForest,scenario1/golang-by-n.csv.cpu_limit,golang-by-n.csv,39175.59425865598
scenario1,AutoFeatPlus,XGBoost,scenario1/rabbitmq-s1.csv.ram_usage,rabbitmq-s1.csv,25820417.65805757
scenario1,AutoFeatPlus,XGBoost,scenario1/rabbitmq-s1.csv.cpu_usage,rabbitmq-s1.csv,22780870.588932265
scenario1,AutoFeatPlus,XGBoost,scenario1/rabbitmq-s1.csv.cpu_limit,rabbitmq-s1.csv,12698790.816083025
scenario1,AutoFeatPlus,XGBoost,scenario1/golang-by-n.csv.ram_usage,golang-by-n.csv,4737105.510480376
scenario1,AutoFeatPlus,XGBoost,scenario1/rabbitmq-s1.csv.ram_limit,rabbitmq-s1.csv,3921303.4327632217
scenario1,AutoFeatPlus,XGBoost,scenario1/python-by-n.csv.cpu_limit,python-by-n.csv,33062.021419483426
scenario1,AutoFeatPlus,XGBoost,scenario1/golang-by-n.csv.cpu_usage,golang-by-n.csv,0.0
scenario1,AutoFeatPlus,XGBoost,scenario1/python-by-n.csv.ram_usage,python-by-n.csv,0.0
scenario1,AutoFeatPlus,XGBoost,scenario1/python-by-n.csv.cpu_usage,python-by-n.csv,0.0
scenario1,AutoFeatPlus,XGBoost,scenario1/golang-by-n.csv.cpu_limit,golang-by-n.csv,0.0
scenario1,AutoFeat,XGBoost,scenario1/rabbitmq-s1.csv.cpu_usage,rabbitmq-s1.csv,26373551.049797483
scenario1,AutoFeat,XGBoost,scenario1/rabbitmq-s1.csv.ram_usage,rabbitmq-s1.csv,19680883.266106497
scenario1,AutoFeat,XGBoost,scenario1/rabbitmq-s1.csv.n,rabbitmq-s1.csv,15382194.621697221
scenario1,AutoFeat,XGBoost,scenario1/rabbitmq-s1.csv.cpu_limit,rabbitmq-s1.csv,10721442.266657116
scenario1,AutoFeat,XGBoost,scenario1/rabbitmq-s1.csv.ram_limit,rabbitmq-s1.csv,1967456.2354880783
scenario1,AutoFeat,RandomForest,scenario1/rabbitmq-s1.csv.cpu_usage,rabbitmq-s1.csv,24059023.369774446
scenario1,AutoFeat,RandomForest,scenario1/rabbitmq-s1.csv.ram_usage,rabbitmq-s1.csv,19398147.85985874
scenario1,AutoFeat,RandomForest,scenario1/rabbitmq-s1.csv.n,rabbitmq-s1.csv,15856140.45686392
scenario1,AutoFeat,RandomForest,scenario1/rabbitmq-s1.csv.cpu_limit,rabbitmq-s1.csv,10003710.130341843
scenario1,AutoFeat,RandomForest,scenario1/rabbitmq-s1.csv.ram_limit,rabbitmq-s1.csv,2041426.1563914618
