time,ram_usage,cpu_usage
1636563630,824131584.0,0.277229
1636563642,838049792.0,0.337317
1636563653,838049792.0,0.325891
1636563665,426217472.0,0.359879
1636563676,432394240.0,0.374364
1636563876,507211776.0,0.041357
1636563887,573034496.0,0.001626
1636563897,616984576.0,0.008481
1636563908,650219520.0,0.008481
1636563919,738930688.0,0.049625
1636563931,788983808.0,0.166082
1636563944,837009408.0,0.241702
1636563955,847360000.0,0.242742
1636563967,852750336.0,0.372802
1636563979,426106880.0,0.352276
1636563992,436383744.0,0.36284
1636564006,441741312.0,0.374484
1636564019,448282624.0,0.481284
1636564031,454901760.0,0.481284
1636564049,461504512.0,0.496162
1636564062,470728704.0,0.614116
1636564076,479850496.0,0.390968
1636564092,487968768.0,0.493209
1636564118,558010368.0,0.507664
1636564134,565821440.0,0.604156
1636564156,577159168.0,0.49655
1636564181,586170368.0,0.805607
1636564199,598216704.0,0.663967
1636564221,608190464.0,0.735329
1636564248,621150208.0,0.914654
1636564271,633266176.0,0.827023
1636564295,647630848.0,0.953183
1636564320,660992000.0,0.844764
1636564347,677183488.0,0.962522
1636564377,691142656.0,0.82432
1636564406,705703936.0,0.823983
1636564442,724152320.0,0.821728
1636564510,744308736.0,0.897177
1636564578,765448192.0,0.879473
1636564649,786051072.0,0.855333
1636564700,807391232.0,0.897056
1636564782,830197760.0,0.836102
1636564873,853610496.0,0.954615
1636564963,878084096.0,0.827338
1636565062,904228864.0,0.983279
1636565160,932524032.0,0.926561
1636565268,960258048.0,0.909604
1636565442,1012097024.0,0.913095
1636565634,1068834816.0,0.911979
1636565837,1128001536.0,0.922617
1636566235,1241772032.0,0.00647
1636566245,1300037632.0,0.050102
1636566256,1344004096.0,0.049802
1636566267,1377325056.0,0.049802
1636566278,1466388480.0,0.010459
1636566289,1516294144.0,0.010459
1636566301,1575002112.0,0.316564
1636566313,1585242112.0,0.316564
1636566326,1589055488.0,0.306184
1636566338,1600532480.0,0.321903
1636566350,435466240.0,0.321903
1636566365,441356288.0,0.612356
1636566378,449302528.0,0.635066
1636566391,455794688.0,0.414554
1636566407,463847424.0,0.546771
1636566420,471711744.0,0.489814
1636566434,480305152.0,0.609561
1636566454,534528000.0,0.360325
1636566471,544223232.0,0.631334
1636566495,551612416.0,0.547635
1636566709,629506048.0,0.004424
1636566720,694153216.0,0.027195
1636566730,738193408.0,0.027195
1636566741,771649536.0,0.092865
1636566752,860336128.0,0.012542
1636566763,910520320.0,0.012542
1636566774,959836160.0,0.248331
1636566785,970850304.0,0.250539
1636566797,975233024.0,0.429121
1636566809,975675392.0,0.334494
1636566820,436400128.0,0.334494
1636566832,442585088.0,0.493949
1636566844,448217088.0,0.36913
1636566860,453341184.0,0.52015
1636566873,454111232.0,0.351864
1636567077,529960960.0,0.00687
1636567087,594694144.0,0.008495
1636567098,638889984.0,0.008495
1636567108,671956992.0,0.008292
1636567119,760672256.0,0.104846
1636567130,810840064.0,0.104846
1636567141,852504576.0,0.310507
1636567153,870330368.0,0.388136
1636567165,870330368.0,0.309635
1636567365,488833024.0,0.107201
1636567376,556736512.0,0.107201
1636567386,600780800.0,0.079019
1636567397,634318848.0,0.079019
1636567408,722644992.0,0.012993
1636567420,772624384.0,0.012993
1636567431,824725504.0,0.330424
1636567443,833122304.0,0.283443
1636567455,833122304.0,0.304907
1636567468,428220416.0,0.568877
1636567674,504061952.0,0.033282
1636567684,568647680.0,0.053794
1636567695,612618240.0,0.053794
1636567706,646119424.0,0.107067
1636567717,734806016.0,0.007745
1636567728,784945152.0,0.007745
1636567740,831361024.0,0.245743
1636567752,839225344.0,0.273111
1636567952,487014400.0,0.012389
1636567962,551448576.0,0.012389
1636567973,595390464.0,0.01617
1636567984,628850688.0,0.01617
1636567994,717516800.0,0.088886
1636568005,767787008.0,0.088886
1636568017,821620736.0,0.241708
1636568029,821620736.0,0.241708
1636568232,486420480.0,0.007974
1636568242,551063552.0,0.006889
1636568253,595062784.0,0.0
1636568263,628379648.0,0.0
1636568274,717037568.0,0.044851
1636568285,767332352.0,0.044851
1636568297,816291840.0,0.316434
1636568309,826249216.0,0.274435
1636568320,826249216.0,0.282413
1636568332,428236800.0,0.42056
1636568343,432709632.0,0.368487
1636568355,438845440.0,0.378855
1636568367,444317696.0,0.439226
1636568381,450166784.0,0.378895
1636568394,458354688.0,0.484993
1636568406,465149952.0,0.484993
1636568424,476057600.0,0.698329
1636568437,547971072.0,0.818701
1636568450,558342144.0,0.456495
1636568468,561319936.0,0.605181
1636568675,633790464.0,0.092828
1636568686,701857792.0,0.109126
1636568697,745844736.0,0.109126
1636568708,779161600.0,0.007326
1636568719,867852288.0,0.044244
1636568731,918237184.0,0.126771
1636568744,968286208.0,0.239896
1636568755,978169856.0,0.305731
1636568767,978169856.0,0.351842
1636568778,432418816.0,0.363518
1636568791,436097024.0,0.363518
1636568805,441167872.0,0.499756
1636569012,518201344.0,0.007178
1636569022,582967296.0,0.007178
1636569033,627089408.0,0.008485
1636569044,659869696.0,0.008485
1636569055,748646400.0,0.048023
1636569066,798830592.0,0.137417
1636569077,850190336.0,0.238169
1636569090,857796608.0,0.239894
1636569101,862240768.0,0.318534
1636569114,862953472.0,0.395941
1636569126,432386048.0,0.395941
1636569141,438181888.0,0.583147
1636569155,445157376.0,0.441044
1636569167,453210112.0,0.442508
1636569183,459718656.0,0.52476
1636569196,469721088.0,0.614101
1636569210,478199808.0,0.585575
1636569228,535011328.0,0.321434
1636569249,545898496.0,0.612289
1636569270,552427520.0,0.518646
1636569292,565587968.0,0.734877
1636569313,574779392.0,0.709739
1636569334,586764288.0,0.748323
1636569356,597987328.0,0.717411
1636569381,611962880.0,0.630091
1636569406,624001024.0,0.791062
1636569430,637919232.0,0.827581
1636569454,651190272.0,0.772885
1636569484,666820608.0,0.924882
1636569536,685531136.0,0.793205
1636569571,699117568.0,0.947928
1636569637,720453632.0,0.972376
1636569705,740073472.0,0.8971
1636569773,761401344.0,0.927757
1636569844,782118912.0,0.908446
1636569922,805916672.0,0.972671
1636570008,828874752.0,0.935962
1636570093,852336640.0,0.831799
1636570184,877191168.0,0.860698
1636570282,903548928.0,0.844269
1636570384,931102720.0,0.908697
1636570492,959422464.0,0.99946
1636570662,1010855936.0,0.961903
1636570867,1065283584.0,0.934708
1636571480,1146097664.0,0.044052
1636571490,1210785792.0,0.05674
1636571501,1245405184.0,0.075978
1636571511,1310089216.0,0.024766
1636571522,1351704576.0,0.024766
1636571533,1457692672.0,0.065397
1636571544,1480134656.0,0.24706
1636571555,1489317888.0,0.414492
1636571567,1493037056.0,0.414492
1636571580,1493348352.0,0.255632
1636571591,437227520.0,0.398365
1636571603,441638912.0,0.38205
1636571615,450215936.0,0.467956
1636571628,456429568.0,0.467956
1636571643,463486976.0,0.497879
1636571656,471937024.0,0.576463
1636571669,481341440.0,0.558085
1636571689,536158208.0,0.259731
1636571708,545992704.0,0.525857
1636571729,555405312.0,0.526176
1636571751,566231040.0,0.725835
1636571771,574238720.0,0.547485
1636571793,588320768.0,0.639329
1636571817,599396352.0,0.875205
1636571836,613437440.0,0.784327
1636571860,624791552.0,0.900806
1636571882,639483904.0,0.87184
1636571904,652083200.0,0.954187
1636571929,667947008.0,1.121941
1636571954,682467328.0,1.035211
1636571982,697888768.0,1.204016
1636572011,715808768.0,1.058578
1636572041,732377088.0,0.728813
1636572076,749031424.0,0.803955
1636572109,768954368.0,0.959711
1636572147,787984384.0,1.003763
1636572187,805707776.0,1.196672
1636572227,825786368.0,1.065281
1636572271,846360576.0,0.781315
1636572317,870146048.0,0.866414
1636572365,891002880.0,1.27331
1636572415,913985536.0,1.158882
1636572468,937947136.0,0.991192
1636572524,960897024.0,1.033386
1636572582,986009600.0,1.163673
1636572642,1011970048.0,1.200591
1636572706,1037889536.0,0.874854
1636572772,1063714816.0,1.198607
1636572840,1091883008.0,1.372836
1636572912,1120280576.0,1.020677
1636573114,1196285952.0,0.058649
1636573124,1261019136.0,0.058649
1636573135,1304862720.0,0.091356
1636573145,1304862720.0,0.091356
1636573157,1411649536.0,0.100753
1636573168,1461518336.0,0.0
1636573179,1522892800.0,0.23853
1636573191,1535238144.0,0.288655
1636573202,1539915776.0,0.382497
1636573214,1540427776.0,0.374472
1636573226,434757632.0,0.374472
1636573240,442122240.0,0.502579
1636573253,449019904.0,0.480347
1636573265,454823936.0,0.439799
1636573277,462602240.0,0.609626
1636573289,470151168.0,0.308884
1636573305,480165888.0,0.657626
1636573318,488034304.0,0.648872
1636573331,558641152.0,0.648872
1636573348,568020992.0,0.598042
