time,ram_usage,cpu_usage
1646582004,42614784.0,0.051065
1646582034,46379008.0,0.067159
1646582064,49041408.0,0.080713
1646582100,50917376.0,0.092727
1646582112,62205952.0,0.096897
1646582135,52740096.0,0.109638
1646582168,52740096.0,0.124567
1646582199,55279616.0,0.137515
1646582235,56401920.0,0.142442
1646582286,56401920.0,0.144664
1646582351,53477376.0,0.144664
1646582362,69865472.0,0.099941
1646582375,64184320.0,0.09709
1646582409,54513664.0,0.157349
1646582465,53932032.0,0.160679
1646582520,55332864.0,0.164501
1646582524,73031680.0,0.100494
1646582567,56999936.0,0.167368
1646582599,65789952.0,0.097265
1646582632,56999936.0,0.171634
1646582684,57499648.0,0.166221
1646582737,57499648.0,0.167054
1646582794,57729024.0,0.167054
1646582802,59236352.0,0.100314
1646582828,66797568.0,0.097205
1646582842,61243392.0,0.166705
1646582924,61730816.0,0.16659
1646583019,61923328.0,0.172864
1646583061,67674112.0,0.097339
1646583101,58548224.0,0.176423
1646583170,57634816.0,0.178075
1646583215,61526016.0,0.100727
1646583244,58642432.0,0.180784
1646583272,68825088.0,0.0969
1646583305,73109504.0,0.100493
1646583315,59768832.0,0.180784
1646583395,60493824.0,0.178371
1646583456,60981248.0,0.175828
1646583481,70197248.0,0.096707
1646583516,63041536.0,0.176579
1646583585,65204224.0,0.173367
1646583633,67915776.0,0.10084
1646583650,65724416.0,0.178015
1646583762,65724416.0,0.175404
1646583869,65318912.0,0.178351
1646583880,66760704.0,0.099868
1646583922,59744256.0,0.100482
1646583967,59379712.0,0.186407
1646584013,66977792.0,0.100964
1646584063,58978304.0,0.186407
1646584168,62017536.0,0.186099
1646584200,57622528.0,0.100402
1646584252,62083072.0,0.185178
1646584355,63049728.0,0.182475
1646584406,69386240.0,0.100849
1646584445,62525440.0,0.1861
1646584525,63619072.0,0.10054
1646584543,64233472.0,0.182625
1646584641,66568192.0,0.188644
1646584742,67010560.0,0.181067
1646584843,62009344.0,0.100088
1646584861,70868992.0,0.100926
1646584868,63582208.0,0.185313
1646584930,59461632.0,0.185313
1646585073,60067840.0,0.178222
1646585109,65630208.0,0.100548
1646585189,65126400.0,0.100169
1646585219,60116992.0,0.186763
1646585360,71819264.0,0.100932
1646585360,62849024.0,0.18956
1646585499,63840256.0,0.192492
1646585564,65708032.0,0.100625
1646585631,64679936.0,0.193492
1646585748,66703360.0,0.189192
1646585832,67055616.0,0.100735
1646585875,67596288.0,0.189192
1646585922,67395584.0,0.100655
1646585997,68599808.0,0.188297
1646586114,69644288.0,0.187626
1646586228,67665920.0,0.100655
1646586269,69857280.0,0.187527
1646586418,74428416.0,0.100735
1646586450,70688768.0,0.100545
1646586459,63528960.0,0.193245
1646586540,69799936.0,0.099976
1646586611,58912768.0,0.193518
1646586765,61759488.0,0.19487
1646586866,70426624.0,0.099899
1646586913,65024000.0,0.195174
1646587033,69824512.0,0.099911
1646587038,70094848.0,0.100531
1646587053,65855488.0,0.196044
1646587150,71434240.0,0.097007
1646587192,66809856.0,0.189997
1646587329,67096576.0,0.188716
1646587451,68399104.0,0.194199
1646587538,59629568.0,0.100471
1646587579,70406144.0,0.188297
1646587615,71294976.0,0.099875
1646587634,71368704.0,0.100768
1646587708,70639616.0,0.187474
1646587873,68689920.0,0.186612
1646587949,58654720.0,0.10052
1646588017,62672896.0,0.100708
1646588076,63696896.0,0.193363
1646588206,73003008.0,0.100827
1646588275,59731968.0,0.194193
1646588364,60944384.0,0.100506
1646588467,62480384.0,0.194886
1646588491,65724416.0,0.100546
1646588644,66056192.0,0.195287
1646588718,63705088.0,0.100562
1646588821,66269184.0,0.195719
1646588998,68612096.0,0.195524
1646589039,66596864.0,0.100754
1646589095,65744896.0,0.100562
1646589170,69160960.0,0.196084
1646589339,68718592.0,0.196084
1646589492,70516736.0,0.19445
1646589493,67362816.0,0.100517
1646589533,69263360.0,0.100842
1646589577,69980160.0,0.194297
1646589657,37314560.0,0.03871
1646589729,40992768.0,0.05513
1646589800,70356992.0,0.181929
1646589806,43134976.0,0.082223
1646589828,68923392.0,0.100588
1646589880,46018560.0,0.090661
1646589966,48304128.0,0.088936
1646590050,58109952.0,0.193636
1646590052,50597888.0,0.089419
1646590136,51335168.0,0.089419
1646590212,52166656.0,0.089551
1646590251,71688192.0,0.101454
1646590281,60727296.0,0.194856
1646590311,54321152.0,0.089551
1646590325,70049792.0,0.100688
1646590493,63246336.0,0.195525
1646590527,56524800.0,0.096191
1646590653,52011008.0,0.096565
1646590665,69967872.0,0.100439
1646590676,65757184.0,0.195488
1646590694,72126464.0,0.101419
1646590772,50253824.0,0.096565
1646590863,67387392.0,0.195827
1646590888,52867072.0,0.093743
1646590974,71241728.0,0.100439
1646591004,54308864.0,0.093312
1646591054,67948544.0,0.195753
1646591137,54661120.0,0.093272
1646591162,73891840.0,0.100349
1646591228,68337664.0,0.195412
1646591259,56930304.0,0.093464
1646591285,72114176.0,0.100392
1646591391,57675776.0,0.093464
1646591401,70033408.0,0.195421
1646591517,57663488.0,0.093068
1646591584,69963776.0,0.195324
1646591632,59260928.0,0.093698
1646591748,60915712.0,0.093698
1646591763,72114176.0,0.099925
1646591892,71319552.0,0.194226
1646591992,60862464.0,0.096387
1646592131,65552384.0,0.19975
1646592164,60198912.0,0.100692
1646592173,51015680.0,0.096552
1646592257,71938048.0,0.100886
1646592340,60432384.0,0.195059
1646592347,53493760.0,0.096921
1646592541,62124032.0,0.100745
1646592544,55816192.0,0.096974
1646592571,63049728.0,0.1957
1646592709,58609664.0,0.097198
1646592799,66318336.0,0.196611
1646592801,61214720.0,0.100738
1646592919,58920960.0,0.097299
1646592959,65089536.0,0.100989
1646593026,67694592.0,0.196535
1646593141,60424192.0,0.097044
1646593238,68726784.0,0.195484
1646593351,61546496.0,0.096951
1646593383,66842624.0,0.100989
1646593384,63442944.0,0.100738
1646593437,69328896.0,0.195484
1646593536,61546496.0,0.097429
1646593643,70045696.0,0.195624
1646593724,62844928.0,0.097429
1646593798,68091904.0,0.10067
1646593845,70836224.0,0.195624
1646593915,64331776.0,0.096791
1646593948,67432448.0,0.10063
1646594044,72163328.0,0.19489
1646594200,69820416.0,0.100447
1646594249,60637184.0,0.099847
1646594279,70578176.0,0.194513
1646594474,68988928.0,0.100628
1646594496,53080064.0,0.099847
1646594548,62009344.0,0.193573
1646594610,71245824.0,0.100311
1646594754,55648256.0,0.097096
1646594789,61763584.0,0.194999
1646594952,74948608.0,0.100642
1646594962,72531968.0,0.100758
1646595021,64638976.0,0.195638
1646595218,61161472.0,0.090497
1646595256,67575808.0,0.195635
1646595305,72794112.0,0.100679
1646595461,61673472.0,0.097006
1646595462,69320704.0,0.196139
1646595672,70148096.0,0.195336
1646595684,62902272.0,0.097304
1646595872,69693440.0,0.195348
1646595880,72056832.0,0.100711
1646595900,64008192.0,0.097118
1646596067,70950912.0,0.195665
1646596140,64663552.0,0.097248
1646596224,70967296.0,0.099966
1646596272,71999488.0,0.195229
1646596405,65122304.0,0.096568
1646596517,72818688.0,0.194416
1646596562,34299904.0,0.0
1646596588,36446208.0,0.025254
1646596607,41275392.0,0.025254
1646596627,46153728.0,0.041707
1646596647,46153728.0,0.059744
1646596667,50442240.0,0.059744
1646596678,60837888.0,0.10057
