scenarioB_seg01/amf-seg01-reduced.csv.ram_limit,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.lat75,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.lat100,scenarioB_seg01/amf-seg01-reduced.csv.cpu_usage,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.cpu_usage,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.ram_usage,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.lat95,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.lat98,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.lat50,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.lat98,scenarioB_seg01/amf-performance_seg04_20211113_042705.csv.time,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.lat80,scenarioB_seg01/amf-seg01-reduced.csv.n,scenarioB_seg01/amf-performance_seg04_20211113_042705.csv.ram_limit,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.lat99,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.time,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.lat50,scenarioB_seg01/amf-performance_seg05_20211113_141818.csv.ram_limit,scenarioB_seg01/amf-seg01-reduced.csv.time,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.lat75,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.ram_limit,scenarioB_seg01/amf-performance_seg04_20211113_042705.csv.cpu_usage,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.time,scenarioB_seg01/amf-performance_seg04_20211113_042705.csv.cpu_limit,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.mean,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.mean,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.ram_usage,scenarioB_seg01/amf-seg01-reduced.csv.ram_usage,lat99,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.lat95,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.lat80,scenarioB_seg01/amf-performance_seg04_20211113_042705.csv.ram_usage,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.lat100,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.ram_limit,scenarioB_seg01/amf-seg01-reduced.csv.cpu_limit,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.lat90,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.cpu_usage,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.lat99,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.lat90
1024M,5764130,5816103,0.531007,0.718811,481034240.0,5806632,5810218,2392436,2518617,1636783042,2469691,170,2048M,5811165,1636747428,5707135,3328M,1636553673,2461409,1536M,0.630038,1636841758,2.5,2399045,5706190,477036544.0,480653312.0,8539914,2513387,5783831,480849920.0,2525936,4096M,2.0,2498931,0.584353,2520888,5804915
1024M,8331758,8397685,0.519589,0.633029,532807680.0,8378977,8389147,2949417,3057368,1636786355,3028481,180,1280M,8390641,1636772190,8273173,3328M,1636553686,3008523,1280M,0.489853,1636850290,2.5,2931297,8272239,536838144.0,488517632.0,2966134,3055466,8346582,487698432.0,3062231,512M,2.0,3044321,0.606336,3062024,8366192
1024M,2940233,2991959,0.431666,0.641175,570118144.0,2979754,2986018,10486828,10615427,1636797596,10570553,190,512M,2986966,1636754564,2885225,3328M,1636553699,10555689,2560M,0.451087,1636848641,2.0,10498597,2878040,537378816.0,499134464.0,3090272,10607486,2944920,536559616.0,10619381,2304M,2.0,10591218,0.510646,10617328,2965898
1024M,11481310,11525647,0.674343,0.522143,553938944.0,11508910,11517205,6933471,7049313,1636801638,7017091,200,2048M,11518774,1636764667,11399905,1792M,1636553717,7011160,3072M,0.566621,1636847666,1.5,6932063,11400868,579760128.0,507129856.0,7726800,7046195,11484953,553861120.0,7057879,2560M,2.0,7030464,0.720186,7057360,11499131
1024M,11943277,12011604,0.70743,0.515395,535273472.0,11999193,12005809,11697457,11830940,1636783128,11790780,210,2048M,12006080,1636743351,11882680,1792M,1636553738,11772114,512M,0.733105,1636851376,2.5,11698142,11875446,575885312.0,519012352.0,11271078,11816491,11968915,568983552.0,11834688,1280M,2.0,11813475,0.515527,11831556,11986446
1024M,11816727,11877661,0.619805,0.746368,578752512.0,11874028,11875570,11458440,11630774,1636805064,11579439,220,1280M,11876235,1636747524,11754849,1792M,1636553760,11557667,2816M,0.812971,1636848219,1.5,11474969,11752175,588562432.0,529846272.0,11890903,11627031,11836019,585621504.0,11634658,4096M,2.0,11598804,0.601028,11631735,11858281
1024M,12812783,12878283,0.740856,0.784033,613822464.0,12861393,12864695,13281645,13434760,1636786450,13393198,230,1280M,12866040,1636761096,12725256,1792M,1636553780,13370775,1536M,0.665377,1636841867,2.5,13277667,12729458,576688128.0,541437952.0,10184382,13427820,12815572,599818240.0,13442831,3584M,2.0,13412697,0.766523,13435554,12848954
1024M,9923718,9998204,0.936727,0.621528,623542272.0,9987824,9992367,12302753,12435160,1636801724,12404042,240,2048M,9993176,1636730564,9832028,1792M,1636553803,12396859,1536M,0.689865,1636841887,1.5,12296231,9823292,624115712.0,553050112.0,12598609,12433421,9938340,598142976.0,12439131,3840M,2.0,12431345,0.683492,12435521,9977523
1024M,11586619,11706383,0.764781,0.694453,536780800.0,11664237,11682957,11387683,11603276,1636791438,11548195,250,3584M,11684135,1636736053,11485468,1792M,1636553825,11501960,512M,0.779968,1636851463,2.0,11395503,11492749,623919104.0,567529472.0,12299546,11594694,11608452,623161344.0,11605765,3072M,2.0,11584546,0.913735,11604269,11646397
1024M,11167400,11261211,0.655772,0.673729,536780800.0,11238458,11250717,11069595,11257548,1636778858,11175603,260,3328M,11259424,1636748610,11039391,1792M,1636553846,11155957,512M,0.808297,1636851484,2.5,11069385,11050419,624070656.0,578985984.0,10615767,11253871,11180317,612241408.0,11285586,3584M,2.0,11245431,0.774414,11264244,11227205
