scenarioB_seg01/amf-seg01-reduced.csv.time,scenarioB_seg01/amf-seg01-reduced.csv.ram_limit,scenarioB_seg01/amf-seg01-reduced.csv.cpu_limit,scenarioB_seg01/amf-seg01-reduced.csv.ram_usage,scenarioB_seg01/amf-seg01-reduced.csv.cpu_usage,scenarioB_seg01/amf-seg01-reduced.csv.n,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.ram_limit,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.ram_usage,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.time,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.cpu_limit,lat99
1636555005,2048000000,2.0,454770688.0,0.516287,140,1024000000,446738432.0,1636807685,1.5,2754920
1636555018,2048000000,2.0,460894208.0,0.516287,150,3840000000,462327808.0,1636798831,1.5,3047487
1636555033,2048000000,2.0,468819968.0,0.459242,160,2304000000,469581824.0,1636739170,4.0,4418889
1636555046,2048000000,2.0,477650944.0,0.56619,170,2048000000,518111232.0,1636835220,0.5,3591542
1636555060,2048000000,2.0,543440896.0,0.56619,180,1536000000,516972544.0,1636757692,3.5,3542239
1636555080,2048000000,2.0,556605440.0,0.427083,190,3072000000,557694976.0,1636735927,4.0,10082185
1636555097,2048000000,2.0,566796288.0,0.536488,200,768000000,564191232.0,1636808125,1.5,6473590
1636555119,2048000000,2.0,576536576.0,0.571991,210,512000000,536338432.0,1636772242,3.0,11929568
1636555142,2048000000,2.0,586776576.0,0.740285,220,1280000000,587808768.0,1636786430,2.5,13147095
1636555161,2048000000,2.0,598036480.0,0.624625,230,1536000000,613822464.0,1636841867,4.0,9036925
1636555183,2048000000,2.0,609361920.0,0.710692,240,2048000000,608448512.0,1636860225,3.0,12506669
1636555208,2048000000,2.0,622665728.0,0.823236,250,3584000000,610496512.0,1636809989,1.0,14698115
1636555227,2048000000,2.0,635768832.0,0.928746,260,1280000000,632487936.0,1636805150,1.5,8547152
1636555250,2048000000,2.0,649134080.0,0.886891,270,1792000000,650264576.0,1636862894,3.0,13090828
1636555273,2048000000,2.0,662102016.0,0.824098,280,2048000000,655953920.0,1636783280,2.5,12965384
1636555296,2048000000,2.0,678223872.0,0.746959,290,2304000000,679071744.0,1636739430,4.0,13060467
1636555323,2048000000,2.0,693059584.0,1.024457,300,3328000000,685830144.0,1636822939,0.5,16751605
1636555350,2048000000,2.0,708014080.0,1.222709,310,4096000000,698593280.0,1636855556,3.0,16821853
1636555379,2048000000,2.0,725262336.0,0.978312,320,768000000,714539008.0,1636787540,2.5,19372622
1636555411,2048000000,2.0,742789120.0,0.740763,330,3584000000,721903616.0,1636761343,3.0,21960174
1636555444,2048000000,2.0,760213504.0,1.017904,340,3584000000,748924928.0,1636748826,3.5,22633291
1636555479,2048000000,2.0,780120064.0,0.996544,350,2048000000,773042176.0,1636783486,2.5,25274556
1636555516,2048000000,2.0,799039488.0,1.210739,360,2304000000,797118464.0,1636767695,3.0,27453691
1636555554,2048000000,2.0,816726016.0,1.276808,370,2304000000,815116288.0,1636767734,3.0,28011039
1636555596,2048000000,2.0,837242880.0,0.881292,380,3072000000,837500928.0,1636736441,4.0,31947240
1636555642,2048000000,2.0,858120192.0,0.875193,390,3584000000,836374528.0,1636761574,3.0,35349137
1636555686,2048000000,2.0,881463296.0,0.978793,400,3328000000,901500928.0,1636823916,0.5,34398721
1636555735,2048000000,2.0,902504448.0,0.899309,410,4096000000,892985344.0,1636855943,3.0,38501585
1636555785,2048000000,2.0,925630464.0,0.789552,420,1280000000,922873856.0,1636805716,1.5,40216633
1636555839,2048000000,2.0,949350400.0,1.172361,430,3072000000,949121024.0,1636736683,4.0,43695066
1636555895,2048000000,2.0,972263424.0,1.135866,440,2304000000,974061568.0,1636740023,4.0,45912437
1636555954,2048000000,2.0,997380096.0,1.028181,450,768000000,805122048.0,1636788115,2.5,49088888
1636556014,2048000000,2.0,1021845504.0,0.969411,460,1280000000,1021878272.0,1636744249,4.0,50093467
1636556079,2048000000,2.0,1048883200.0,1.052405,470,1792000000,1050595328.0,1636863728,3.0,54513481
1636556145,2048000000,2.0,1075277824.0,1.147444,480,2560000000,1088413696.0,1636765710,3.0,56284517
1636556214,2048000000,2.0,1102979072.0,1.040265,490,3584000000,1081405440.0,1636762148,3.0,58726190
1636556285,2048000000,2.0,1130758144.0,1.007388,500,3840000000,1144758272.0,1636731657,4.0,60797375
1636556484,1024000000,2.0,1206652928.0,0.00402,10,1792000000,602877952.0,1636815228,1.0,175883
1636556494,1024000000,2.0,1271042048.0,0.058732,20,3328000000,507670528.0,1636799616,1.5,342833
1636556505,1024000000,2.0,1314910208.0,0.060246,30,1536000000,325783552.0,1636849767,3.5,453414
1636556515,1024000000,2.0,1348313088.0,0.060246,40,2816000000,1616252928.0,1636830189,0.5,630729
1636556526,1024000000,2.0,1437007872.0,0.119225,50,1024000000,712429568.0,1636836750,0.5,931165
1636556537,1024000000,2.0,1487216640.0,0.00826,60,4096000000,625266688.0,1636747294,3.5,909821
1636556548,1024000000,2.0,1537056768.0,0.24134,70,768000000,852271104.0,1636807956,1.5,1152934
1636556560,1024000000,2.0,1546403840.0,0.249071,80,2048000000,1854062592.0,1636741632,4.0,1190699
1636556571,1024000000,2.0,1551818752.0,0.371978,90,1024000000,1762451456.0,1636745785,4.0,1313596
1636556583,1024000000,2.0,1557741568.0,0.375588,100,3072000000,432267264.0,1636858644,3.0,1478299
1636556594,1024000000,2.0,435908608.0,0.375588,110,512000000,438013952.0,1636797487,2.0,1617082
1636556606,1024000000,2.0,442175488.0,0.411564,120,512000000,444276736.0,1636797499,2.0,1766903
1636556618,1024000000,2.0,447807488.0,0.553053,130,512000000,445648896.0,1636759049,3.5,1945979
